case_id,zone_mechanical_state,structural_trajectory,trajectory_confidence,coh_label,pred_label,b12v2_outcome,correct,visit_count,breakdown_visit_count,damage_visit_count,growth_visit_count,health_last_visit,health_slope,omega_total,omega_max,visit_N_result,visit_N_omega,visit_N_health
CASE_00455,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,3,0,0,13.538686,-1.728555,18714.399417,6411.387884,BREAKDOWN,6841.447041,12.141167
CASE_00475,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,5,1,4,0,13.670056,-1.791926,20129.410566,5256.361071,BREAKDOWN,5350.846063,11.638473
CASE_00476,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,68.544554,9.029703,5799.973907,3110.102777,GROWTH,3479.391421,79.0
CASE_00478,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,63.447542,5.415281,5676.71021,3249.657018,GROWTH,3689.274138,79.0
CASE_00496,ELASTIC_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,75.338296,5.418136,13199.04087,3791.701956,GROWTH,2720.027365,77.867394
CASE_00502,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,61.132401,3.812881,4525.942961,2275.173539,GROWTH,2603.753363,77.415407
CASE_00505,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,1,0,19.901999,-0.813855,7667.868402,4052.238954,BREAKDOWN,4568.136074,14.03187
CASE_00510,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,69.823529,3.647058,12512.0747,4922.590339,GROWTH,4813.708169,79.0
CASE_00512,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,2,0,18.483879,-1.485313,9066.428648,4693.60306,BREAKDOWN,5728.946746,13.339501
CASE_00515,RECOVERED_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,107.314286,1.828572,10054.610535,6224.916644,GROWTH,5737.54994,116.0
CASE_00525,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,67.307692,5.128205,9155.408293,3724.234498,GROWTH,3729.329178,78.589744
CASE_00541,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,1,2,0,18.368978,-0.074038,23767.960612,7827.978696,BREAKDOWN,1805.008273,17.269252
CASE_00551,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,3,1,0,18.573865,-0.622619,12440.983064,3798.102294,BREAKDOWN,610.595649,19.737262
CASE_00554,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,6,3,3,0,19.250579,-0.271673,23069.75173,5261.419654,BREAKDOWN,2597.057061,18.407566
CASE_00559,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,2,1,0,14.537976,-2.357225,11974.907436,4161.09944,BREAKDOWN,4296.294316,18.251827
CASE_00573,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,107.117647,4.852876,21433.274101,5277.517766,GROWTH,6667.22181,107.636741
CASE_00601,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,73.823529,4.941176,5772.743588,1994.478182,GROWTH,1167.095286,79.0
CASE_00605,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,68.411765,3.223529,9706.267745,3019.825402,GROWTH,3030.102585,78.558412
CASE_00606,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,72.108911,5.461673,9884.418291,3196.597653,GROWTH,2602.036607,79.0
CASE_00607,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,106.692308,4.073688,24040.144962,5632.644326,GROWTH,1749.218199,109.0
CASE_00608,ELASTIC_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,77.09901,4.134654,13772.651222,3184.799046,GROWTH,3503.598506,79.0
CASE_00616,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,6,0,4,0,18.127194,-0.524487,19292.097892,3497.786804,BREAKDOWN,4205.477171,14.815381
CASE_00619,ELASTIC_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,73.823529,3.529412,13372.388283,3918.509173,GROWTH,4096.065512,77.805676
CASE_00635,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,HOLD,False,4,0,2,0,29.260783,1.657425,16231.742813,5578.114678,RECLAIM,620.236677,30.555029
CASE_00648,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,69.943396,3.730417,12715.918491,3636.377602,GROWTH,2211.826672,79.0
CASE_00652,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,105.087238,9.602477,24968.30599,9807.504368,GROWTH,9513.339896,108.452001
CASE_00654,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,1,2,0,11.331379,-3.670524,11656.860819,3915.254132,BREAKDOWN,3102.452459,12.764052
CASE_00656,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,62.883505,7.883505,5308.185276,2929.50571,GROWTH,3373.953303,79.0
CASE_00660,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,66.881188,8.218456,4909.238439,2492.174259,GROWTH,3343.271371,79.0
CASE_00710,ELASTIC_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,74.173804,3.450498,12768.601102,3413.331792,GROWTH,3324.713379,77.133938
CASE_00713,ELASTIC_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,72.176471,3.858824,9751.470205,2505.132316,GROWTH,2407.007784,79.0
CASE_00715,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,6,0,0,6,76.623762,4.339993,8934.347812,2117.585823,GROWTH,2314.414054,68.92
CASE_00716,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,6,0,0,6,74.106796,3.530944,8744.540817,2128.553103,GROWTH,2326.400648,79.0
CASE_00722,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,6,0,0,6,73.579925,2.933293,10774.262367,2171.323849,GROWTH,1858.414075,79.0
CASE_00727,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,3,1,0,18.512944,-0.153916,10040.346949,4116.887451,BREAKDOWN,3977.601418,15.575903
CASE_00738,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,72.538462,6.0,4078.40855,2551.360448,GROWTH,2505.959098,79.0
CASE_00740,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,73.29703,3.639743,11702.509016,4500.522578,GROWTH,3970.511852,79.0
CASE_00741,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,72.411765,5.421466,12645.854161,4284.553715,GROWTH,3548.946304,79.0
CASE_00762,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,64.6,6.545455,6164.260198,3600.093007,GROWTH,3452.828562,79.0
CASE_00776,ELASTIC_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,71.523632,11.721879,7788.944184,3947.952132,GROWTH,3867.738564,79.0
CASE_00783,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,2,0,14.16364,-4.289409,7398.834211,3806.230719,BREAKDOWN,4151.50073,11.879303
CASE_00797,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,2,1,0,15.784374,-1.984314,16618.736534,5869.590646,BREAKDOWN,5637.903704,18.840453
CASE_00820,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,1,1,0,18.126769,-1.095618,9433.860522,4931.592853,BREAKDOWN,4046.534654,18.976076
CASE_00821,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,1,2,0,15.472559,-2.44005,26991.416342,10535.806862,BREAKDOWN,10478.643245,17.857155
CASE_00834,EXHAUSTED_ZONE,STABLE,MEDIUM,MODERATE,HOLD,FAIL,False,2,0,2,0,20.21239,-0.110102,6268.726461,3880.995726,BREAKDOWN,4023.09652,17.803256
CASE_00842,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,1,1,0,14.996828,-5.224708,9112.606447,5218.036912,BREAKDOWN,5576.851487,13.924549
CASE_00843,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,2,0,15.210558,-4.284136,8227.884616,4243.063722,BREAKDOWN,4008.436915,16.327948
CASE_00853,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,75.705882,6.248096,7676.136005,3064.325346,GROWTH,2831.248651,79.0
CASE_00855,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,5,0,4,0,15.774113,-0.871624,24599.877869,5910.918775,BREAKDOWN,5740.550893,14.595453
CASE_00856,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,6,1,3,0,19.830822,-0.309958,25070.790549,5839.335827,BREAKDOWN,4135.391885,15.658348
CASE_00860,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,74.60266,3.953416,10412.299201,2500.917872,GROWTH,1714.541864,75.239079
CASE_00861,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,5,1,3,0,14.104001,-0.998606,18492.341491,4410.605669,BREAKDOWN,3070.983249,17.091797
CASE_00870,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,103.076923,3.321695,14689.508853,5359.844313,GROWTH,5747.067487,116.0
CASE_00874,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,1,3,0,15.987723,-1.463322,10632.205531,3404.833695,BREAKDOWN,5008.603581,12.42176
CASE_00875,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,103.640777,7.339806,15560.86983,5257.701415,GROWTH,6901.681398,107.236317
CASE_00887,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,1,2,0,15.662551,-1.143255,11884.341352,5262.931814,BREAKDOWN,4552.953118,19.614458
CASE_00918,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,75.930236,2.972511,7260.784536,4337.855191,GROWTH,2596.352658,79.0
CASE_00929,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,67.655938,2.663812,9058.779472,3358.884279,GROWTH,3404.458809,79.0
CASE_00976,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,71.131876,5.062009,8382.141496,2875.921241,GROWTH,2857.873146,79.0
CASE_01010,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,1,1,0,15.943742,-2.603241,5840.308121,2924.969302,BREAKDOWN,1576.351757,17.574175
CASE_01037,ELASTIC_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,65.093458,4.626894,6478.437067,2271.879663,GROWTH,2558.697636,77.566939
CASE_01038,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,106.098469,3.601872,22316.508459,5410.547566,GROWTH,5101.265445,109.0
CASE_01079,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,6,0,0,6,103.453084,2.406662,27029.817865,5469.868803,GROWTH,6720.187451,108.705536
CASE_01080,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,6,0,0,6,70.920792,2.959487,8369.266931,1896.983835,GROWTH,1920.352378,79.0
CASE_01081,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,6,2,3,0,15.354177,-1.090866,19707.475594,4156.548415,BREAKDOWN,2717.970352,16.174813
CASE_01087,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,2,2,0,12.469127,-1.916918,14631.251051,4871.891809,BREAKDOWN,5718.057704,13.498301
CASE_01089,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,72.133461,5.543519,19841.226926,7540.443014,GROWTH,7957.191765,75.415397
CASE_01101,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,75.673525,5.32285,11762.018261,4122.423822,GROWTH,4173.390802,74.356932
CASE_01102,ELASTIC_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,116.484668,4.386042,13346.483815,4081.349396,GROWTH,3973.228698,122.0
CASE_01103,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,6,0,4,0,16.483319,-1.011711,24057.127223,5674.069855,BREAKDOWN,5904.867203,16.417045
CASE_01111,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,74.181598,8.046244,11517.403779,4326.044613,GROWTH,4344.286739,79.0
CASE_01112,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,107.336634,5.70297,20277.768037,7000.762971,GROWTH,7383.791965,109.0
CASE_01114,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,2,2,0,17.991261,-0.426556,16484.507063,4209.417572,BREAKDOWN,1068.539674,17.502042
CASE_01139,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,2,2,0,16.273334,-1.801038,14434.66124,5563.295325,BREAKDOWN,3556.442549,16.764441
CASE_01146,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,1,3,0,10.957686,-2.893182,11092.590387,3516.910208,BREAKDOWN,3776.494034,10.191202
CASE_01154,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,7,0,6,0,12.277714,-1.291389,17976.934203,3229.321509,BREAKDOWN,1784.562091,17.732767
CASE_01156,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,71.612738,3.402491,6072.305954,1516.664981,GROWTH,1736.83558,79.0
CASE_01173,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,5,2,3,0,16.896061,-0.597737,13394.084558,3453.567314,BREAKDOWN,2930.552126,11.78336
CASE_01174,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,5,2,3,0,15.725724,-1.198851,13481.424724,3534.105178,BREAKDOWN,3043.239655,12.899892
CASE_01182,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,73.29703,15.920792,3734.316145,2796.206731,GROWTH,2788.797595,79.0
CASE_01194,ELASTIC_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,71.871287,3.089109,4871.846559,3033.420127,GROWTH,3244.626048,71.078672
