case_id,zone_mechanical_state,structural_trajectory,trajectory_confidence,coh_label,pred_label,b12v2_outcome,correct,visit_count,breakdown_visit_count,damage_visit_count,growth_visit_count,health_last_visit,health_slope,omega_total,omega_max,visit_N_result,visit_N_omega,visit_N_health
CASE_12567,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,74.960396,5.851131,15888.067946,6281.480055,GROWTH,1433.074232,79.0
CASE_12573,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,104.294118,4.470588,36099.054973,9663.805649,GROWTH,5125.507991,109.0
CASE_12581,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,105.435644,6.059406,21405.027988,11323.260924,GROWTH,4536.558016,109.0
CASE_12585,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,77.153846,4.5,8734.431963,2889.04693,GROWTH,259.263984,79.0
CASE_12595,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,2,1,0,16.17246,-1.086677,25575.555192,10264.491496,BREAKDOWN,10724.703498,13.788903
CASE_12596,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,75.22004,5.797336,15390.686425,4331.457561,GROWTH,2540.779875,79.0
CASE_12605,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,3,0,0,15.867303,-0.020296,17911.848715,7503.874787,BREAKDOWN,6113.719878,19.316903
CASE_12624,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,76.230769,4.214023,8911.253764,3084.199426,GROWTH,504.80206,79.0
CASE_12625,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,2,1,0,16.821172,-1.163502,13736.434006,4585.767697,BREAKDOWN,1793.515448,19.514019
CASE_12640,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,75.727273,2.727273,10342.442082,4381.813033,GROWTH,459.047899,79.0
CASE_12641,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,76.148515,4.30099,17083.929266,4951.651061,GROWTH,2771.313276,79.0
CASE_12645,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,71.158416,4.605149,8657.656428,2837.477063,GROWTH,2917.930168,79.0
CASE_12648,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,67.679245,3.622642,9298.026505,2834.17232,GROWTH,2914.531752,79.0
CASE_12651,RECOVERED_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,106.104099,17.064495,12997.979786,7880.313376,GROWTH,5345.726978,109.0
CASE_12652,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,5,3,1,0,16.239506,-0.632026,12622.928038,4161.464905,BREAKDOWN,5025.9672,12.639667
CASE_12676,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,71.216216,3.386285,7968.890726,3106.165819,GROWTH,1720.732216,79.0
CASE_12678,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,66.303984,2.175356,9451.334309,3882.882271,GROWTH,3843.625867,79.0
CASE_12680,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,3,0,3,0,18.807023,-0.866177,8579.056635,3622.56641,BREAKDOWN,5728.927742,16.770274
CASE_12681,EXHAUSTED_ZONE,STABLE,MEDIUM,MODERATE,HOLD,FAIL,False,2,0,2,0,20.214359,-0.352479,3812.747089,1954.611405,BREAKDOWN,6140.247469,10.624637
CASE_12705,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,1,1,0,14.800506,-4.382863,5989.53077,3045.381517,BREAKDOWN,841.314667,18.9311
CASE_12716,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,112.830189,2.516656,16382.548643,5314.77753,GROWTH,3736.083338,116.0
CASE_12726,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,6,0,0,6,104.960396,3.475061,39757.010935,8174.990753,GROWTH,4166.612241,109.0
